,時間,本文
0,2022-11-11 14:59:49+00:00,"そしてバトンは渡された

…面白かったー
タイトルと想像してたものが違ったw
原作本読んでみたい作品

石原さとみの演技が良かった

末期癌で亡くなった叔父を思い出したよ
一気におじいちゃんみたくなって
動きも力入らなくて…
でも懸命に生きようとする姿

繊細だけど力強くてよかった(*´꒳`*)"
1,2022-11-11 14:59:45+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
2,2022-11-11 14:59:44+00:00,"「そしてバトンは渡された」(映画)

鬼のように泣いた。小説でハードカバーで購入して読んでるので、程よく忘れてたのも良かった。"
3,2022-11-11 14:59:42+00:00,そしてバトンは渡された、原作と映画結構違うんですね
4,2022-11-11 14:59:41+00:00,「そしてバトンは渡された」めっちゃええ話だった...泣いた...😭😭
5,2022-11-11 14:59:36+00:00,"RT @tsujichopress: 【🎬今夜放送🎥】
本日21時からの金曜ロードショーで、「そして、バトンは渡された」が地上波初放送されます✨
主人公の永野さん演じる優子の厨房シーンでは辻調グループが撮影協力を行いました😍
さらに学生と先生がエキストラ出演しています😆
当時の…"
6,2022-11-11 14:59:30+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
7,2022-11-11 14:59:28+00:00,"映画『そして、バトンは渡された』
この涙を溢れさせないために目が2つじゃ足りない。
こういうルートが一番幸せなのかなって考えてしまうほど、幸せのルートは一つじゃないんだなって思わされた。
いろいろな作品を見るたびに思う、みんな素敵な人。現実はどうなんだろう。作品のように、わかれば……"
8,2022-11-11 14:59:24+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
9,2022-11-11 14:59:23+00:00,"映画版「そして、バトンは渡された」めっちゃ泣いた
原作とは違うみたいだから原作もちゃんと読まないと…！"
10,2022-11-11 14:59:23+00:00,「そして、バトンは渡された」途中からボロボロと涙がとまらなかった
11,2022-11-11 14:59:21+00:00,そしてバトンは渡された、原作読んでボロ泣きしたけど映画は見れてなかったのね。さっきの金ローでようやく見て、結末わかってるのにボロ泣きして、原作に負けてなかった。すごく良かった。
12,2022-11-11 14:59:14+00:00,"そしてバトンは渡された何回見ても涙が出る🥲
特にりかさんが卒業式でピアノを弾く優子を見ている表情がたまらない、、。
家族の在り方って「当たり前」はないなぁと思う。すごく心温まるお話だった。
#そしてバトンは渡された"
13,2022-11-11 14:59:09+00:00,"RT @wyenra_reiden: そして、バトンは渡された

僕は映画館に見に行きました。

めっちゃ泣いた
#そしてバトンは渡された"
14,2022-11-11 14:59:07+00:00,"そして、バトンは渡されたをなんとなーく観始めて、最後まで観てしまった😭
本読んだことないし、思ってた話と全然違ってたし、途中で話が繋がった時は、えーまじ！ってまんまと製作陣の思うツボは反応になった。"
15,2022-11-11 14:59:07+00:00,silentで泣いて、そしてバトンは渡されたで泣いて2日連続の号泣。私、自分のこと心無い人かもって思ってたけど大丈夫そうやな🤔
16,2022-11-11 14:59:06+00:00,来週あな番なのか！そしてバトンは渡されたもあなたの番ですも映画見逃したから嬉しい。圭くん続きだ😃
17,2022-11-11 14:59:06+00:00,『そして、バトンは渡された』で号泣。普段映画でそんなに泣かない感情薄い人間だけど、映画館でも号泣して、今回2回目見て伏線回収しながら見れて、それでも号泣。いい映画だ。
18,2022-11-11 14:59:04+00:00,"そしてバトンは渡された
凄かった。
感情が爆発した。。"
19,2022-11-11 14:59:01+00:00,そして、バトンは渡されたの途中であだっちぃーのInsta　Live始まる。
20,2022-11-11 14:58:59+00:00,"今夜は
・ ハジメの一歩会のゆるほめLTに参加✨
・メンチカツの手作りに初挑戦
・子供と金曜ロードショーの「そして、バトンは渡された」を観る

金曜日満喫できた！
土日はアウトプット三昧するぞ
💪💗"
21,2022-11-11 14:58:58+00:00,"しーちゃん寝かしつけして、1人映画鑑賞♬「そして、バトンは渡された」を観て号泣😭😭😭しーちゃんの側にずっといるからねママ!!!と寝てるしーちゃんの手を握ったら寝ながら手を振払われた、、、。はい、おやすみなさい💤
#しーちゃん　#気持ちは石原さとみ　#そしてバトンは渡された"
22,2022-11-11 14:58:43+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
23,2022-11-11 14:58:42+00:00,"RT @kinro_ntv: 「そして、バトンは渡された」ご覧頂きありがとうございました。

来週は「#あなたの番です 劇場版」地上波初放送
社会現象となったドラマをまさかの映画化
もしもあの日“交換殺人ゲーム”が始まらなかったら…
豪華客船上で、新たな連続殺人が‼️
#原田知…"
