,時間,本文
0,2022-12-02 23:59:54+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
1,2022-12-02 23:59:53+09:00,"RT @yurayura_gg: #天使にラブ・ソングを
#金曜ロードショー
「天使にラブ・ソングを」は可愛らしい容姿とパワフルな歌声が特徴的なメアリー・ロバートがいいんだよなぁ。でも歌声は吹き替えによるもので彼女は歌っておらず、実は口パクなんです。
ちなみに、吹き替えはアンド…"
2,2022-12-02 23:59:46+09:00,RT @tora01x10: 金ローが「天使にラブ・ソングを…」なので描くしかなかった。聖夜決戦編も楽しみだねー！ https://t.co/cg4MUWS8Jy
3,2022-12-02 23:59:44+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
4,2022-12-02 23:58:54+09:00,RT @tora01x10: 金ローが「天使にラブ・ソングを…」なので描くしかなかった。聖夜決戦編も楽しみだねー！ https://t.co/cg4MUWS8Jy
5,2022-12-02 23:58:53+09:00,RT @tora01x10: 金ローが「天使にラブ・ソングを…」なので描くしかなかった。聖夜決戦編も楽しみだねー！ https://t.co/cg4MUWS8Jy
6,2022-12-02 23:58:39+09:00,"RT @livedoornews: 【続投】「天使にラブ・ソングを…」第3作の脚本が完成間近
https://t.co/pGsDXJcPYs

1992年の第1作で、シスター・クラレンスことデロリス役を演じたウーピー・ゴールドバーグが明かした。それ以上の詳細は明かさなかったもの…"
7,2022-12-02 23:58:31+09:00,"RT @toho_oshirase: 東急シアターオーブ『天使にラブ・ソングを』
公演再開のお知らせ【12月4日】
詳しくはこちらからご確認をお願い申し上げます。
https://t.co/9cFPtgWnNH"
8,2022-12-02 23:58:24+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
9,2022-12-02 23:57:58+09:00,"2022:75

✔︎ 天使にラブ・ソングを…／Sister Act
✔︎ TV https://t.co/CgoHqOVb6T"
10,2022-12-02 23:56:37+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
11,2022-12-02 23:56:03+09:00,RT @tora01x10: 金ローが「天使にラブ・ソングを…」なので描くしかなかった。聖夜決戦編も楽しみだねー！ https://t.co/cg4MUWS8Jy
12,2022-12-02 23:55:45+09:00,RT @pfeasy: 天使にラブ・ソングを https://t.co/uGf6fy7xK0
13,2022-12-02 23:55:42+09:00,『天使にラブ・ソングを…』の邦題はとても興味深い。モチーフは讃美歌なので、このタイトルは全く的外れで語彙だけ見れば零点なんだけど、映画のエッセンスと日本語のニュアンスをふまえると、最高級に素敵な邦題になってしまっているので不思議。「ノリが良ければ全て良し」の典型にして頂点になる。
14,2022-12-02 23:55:41+09:00,"天使にラブ・ソングを
大好きな映画の１つ🤭❤️"
15,2022-12-02 23:55:39+09:00,RT @io_housenka: 今夜の金ローは「天使にラブ・ソングを…」なんですって https://t.co/L9zTWjA5NT
16,2022-12-02 23:55:15+09:00,落選で落ち込んでるけど天使にラブ・ソングを見てちょっと回復した感　来週は2がある🥰
