,時間,本文
0,2023-01-13 23:59:56+09:00,思い出のマーニーやっぱ最高=͟͟͞͞♡
1,2023-01-13 23:59:54+09:00,RT @rinpa1059: 思い出のマーニーは百合だと思ってるけど、サイロのシーンでは何ぃーっ！？今まで見ていた百合アニメは！？って叫びながら失禁しちゃうよ
2,2023-01-13 23:59:47+09:00,RT @m0m0_0ssrr_: 思い出のマーニー、真っ先に思い出すのは「まだマーニーあう！まだまだマーニーあう！」の広告なんだよな。 https://t.co/8yNjbHndm0
3,2023-01-13 23:59:40+09:00,「思い出のマーニー」見ちゃったな。何度も見てる筈なのに、途中でこんな展開だったっけと…記憶を消してしまう魔法があるのかな、ジブリ映画には。 #思い出のマーニー
4,2023-01-13 23:59:31+09:00,"RT @cypress1582: 思い出のマーニーの舞台が釧路湿原なの知らなかった
 #初見
 #金ロー  #金曜ロードショー"
5,2023-01-13 23:59:31+09:00,"RT @LegacyGodzilla: 思い出のマーニー、
なるほど信子ちゃんは親の過保護から来た幸せ太りで持っている人間のメタファーなのか。
持たざる杏奈からしたら妬心の対象だった訳で、マーニーとの出会いで過去の不条理に踏ん切りがついた事、何より信子ちゃんに謝罪できたことこそ…"
6,2023-01-13 23:59:30+09:00,"思い出のマーニー観てた
湿地　水辺の家屋　廃墟　ワクワクする田舎の風景だし
続きが気になるほんのり怖い不思議話
主人公が人との関わりを避ける理由
""反抗期""って雑に括って片付くような
大人に都合の良いグレ方じゃないの
良い映画だったな"
7,2023-01-13 23:59:26+09:00,"思い出のマーニーのお話が好みな方がいらっしゃったら映画「秘密の森の、その向こう」を是非オススメしたい  繊細でせつなく温かいお話  これも2022年ベスト映画に入るな…

https://t.co/nzT4gU99HY"
8,2023-01-13 23:59:25+09:00,思い出のマーニーが秘封倶楽部言われてた頃を思い出す
9,2023-01-13 23:59:23+09:00,"RT @Taylor143always: 『思い出のマーニー』のヒロインは信子

杏奈から「太っちょ豚！」と暴言を吐かれても怒らず両成敗となるように冷静に立ち回るぐう聖っぷり

強がってたけど本当は悲しくて耐えきれず母親に泣きついて甘えるという萌えムーブまでかましてて可愛すぎる…"
10,2023-01-13 23:59:23+09:00,"RT @urazumi: #マーニー　
#金曜ロードショー　

ジブリ映画『思い出のマーニー』原作は英国児童文学の名作、今こそ読まれるべき本
https://t.co/yGIhanBprN"
11,2023-01-13 23:59:20+09:00,『思い出のマーニー』に込められた“愛”を探る　杏奈にとって“許す”ことの意義とは https://t.co/LrsHad4JJp via @realsound_m
12,2023-01-13 23:59:14+09:00,RT @study666i: 思い出のマーニーじゃない https://t.co/5aeOdn0ckB
13,2023-01-13 23:59:12+09:00,"思い出のマーニーめちゃくちゃ好きでもう何度観たかわからない
情景と人物の動作に何故か癒やされる。癒し系アニメ。"
14,2023-01-13 23:59:12+09:00,今回も思い出のマーニー観て泣きました
15,2023-01-13 23:59:06+09:00,金曜ロードショーの「思い出のマーニー」は録画して外出。通りすがりにReNYで無料ライブの動員に貢献してみた！！結果、、213人が来場したとのこと。目標には届かなかったけど楽しい1時間だった✨、、からの痛風鍋&amp;その他もろもろでお腹いっぱいで満足な1日。 https://t.co/ftCwZd2pbK
16,2023-01-13 23:59:06+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
17,2023-01-13 23:59:01+09:00,"RT @titl_hrh: 思い出のマーニー、この「太っちょ豚」で杏奈がクソ叩かれて信子が良い子って流れになるの見るのがほんとしんどい。(杏奈の悪口が酷いのはそうだけど)
先に容姿のこと言及したのは信子だし「褒め言葉のつもりなんだから」みたいなのまじ無理"
18,2023-01-13 23:59:01+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
19,2023-01-13 23:59:00+09:00,"思い出のマーニーは百合か百合じゃないかは微妙。
百合っぼく感じるところはある。
#思い出のマーニー 
#金曜ロードショー"
20,2023-01-13 23:58:59+09:00,"RT @mtmako: きょうの金ローは思い出のマーニーなんですね！
マーニーといえばやっぱりこれですよね✨この大ちゃんのスケート美しかったな💖
#髙橋大輔
#思い出のマーニー
https://t.co/duQSHWX2P5"
21,2023-01-13 23:58:58+09:00,"RT @fujimon00: 高畑勲でもなく宮崎駿でもないジブリ映画の中では、思い出のマーニーがいちばん好きかもしれない。高畑勲も宮崎駿も、""外側の人間""のためには映画を撮ってはくれなかったし。 https://t.co/87IL3Eb9WK"
22,2023-01-13 23:58:57+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
23,2023-01-13 23:58:55+09:00,RT @m0m0_0ssrr_: 思い出のマーニー、真っ先に思い出すのは「まだマーニーあう！まだまだマーニーあう！」の広告なんだよな。 https://t.co/8yNjbHndm0
24,2023-01-13 23:58:53+09:00,RT @Tikuwa_sky: 岸辺露伴、よりによって原作でマーニーじみた奴に会ってるしヘブンズ・ドアーが特攻なので思い出のマーニーは岸辺露伴が介入すると秒で終わる
25,2023-01-13 23:58:48+09:00,"〝思い出のマーニー〟
どんなときに観ても
私を救ってくれる大すきな作品。
やさしく寄り添ってくれる
〝Fine On The Outside〟
マーニーと杏奈を
包み込んでいるような歌
自分自身も観る度に
杏奈とともに強くなっていく
何度見ても自然と感動する美しい映画。
#思い出のマーニー
#金曜ロードショー"
26,2023-01-13 23:58:48+09:00,"RT @wasatako: 「「思い出のマーニーは！！！！」」
「秘封！！」
「リコリコ！！」

「え！？」
「え！？」"
27,2023-01-13 23:58:46+09:00,映画館でエンドロールが終わっても涙が引かなかった初めての映画が思い出のマーニーだった。私の人前で泣きたくないという強い意志を打ち破ったの、マーニーの愛が。写真の裏側のメモを見た時なんか、呼吸が震えて声が出そうになったくらい。 https://t.co/SGOVVGrvtP
28,2023-01-13 23:58:43+09:00,"RT @t_u_k_u_n_e: よくわからんが思い出のマーニーは
秘封倶楽部の同人誌なので、そのような視点で見たほうが良いです。"
29,2023-01-13 23:58:36+09:00,"RT @tsubayuki77: ニコニコは当時のまま全て残ってます。
「思い出のマーニー」ブルーレイ/DVD発売　テレビCM
https://t.co/QlUiEZqaON
髙橋大輔、思い出のマーニーを踊る。
https://t.co/Qi7ZBmQZqb"
30,2023-01-13 23:58:35+09:00,思い出のマーニー、大して期待してなかったけど個人的にはジブリ作品で上位に入るくらい良かった🥲ブルーレイ買おうかな。。#マーニー
31,2023-01-13 23:58:35+09:00,"RT @MaroYonebayashi: 思い出のマーニーはハウルに比べたらとっても地味なお話ですが、杏奈の心に寄り添ってじっくり丁寧に描きました。
この内気な少女の心の中を描くために最高の作画と最高の美術で、ひとつの妥協もなく仕上げることができたことを今でも誇りに思っています。"
32,2023-01-13 23:58:35+09:00,RT @Tikuwa_sky: 岸辺露伴、よりによって原作でマーニーじみた奴に会ってるしヘブンズ・ドアーが特攻なので思い出のマーニーは岸辺露伴が介入すると秒で終わる
33,2023-01-13 23:58:32+09:00,"マーニー関連書籍メモ

左から、
・パンフレット(公式で再販中!)
・ビジュアルガイド(分かりやすい)
・The Art of 思い出のマーニー(神の書、おすすめ)
・絵コンテ(鈍器)
・ジブリの教科書(解説の解釈が最高すぎるため頷きすぎて首がもげることに注意)
↓
#思い出のマーニー 
#金曜ロードショー https://t.co/qT87Od2Sgv"
34,2023-01-13 23:58:32+09:00,"RT @Movie_Boo_: 205. 思い出のマーニー/When Marnie Was There（2014）

#MovieBoo  #Movie  
#思い出のマーニー
#WhenMarnieWasThere  
#スタジオジブリ #ジブリ https://t.co/u…"
35,2023-01-13 23:58:32+09:00,"RT @tsubayuki77: 「思い出のマーニー」髙橋大輔スペシャル動画メイキング
https://t.co/uVxbubT7FM
「思い出のマーニー」米林宏昌監督×髙橋大輔インタビュー
https://t.co/TxlzQura1W"
36,2023-01-13 23:58:28+09:00,思い出のマーニー　全てが綺麗で惚れ惚れするよな
37,2023-01-13 23:58:26+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
38,2023-01-13 23:58:26+09:00,"RT @kinro_ntv: 宮﨑駿監督は、映画を最後まで観ないで10分ぐらいで出て行ってしまうことが多いそうなのですが、西村義明プロデューサーによると『思い出のマーニー』は最後まで観て「麻呂（米林監督）はよく頑張った」と褒めていたそうです😊。👉続く
#金曜ロードショー #思い…"
39,2023-01-13 23:58:25+09:00,"RT @nagi0467: 釧路根室地区の湿原には本当に「思い出のマーニー」みたいな世界が広がってる
道東においでよ🙌
#思い出のマーニー https://t.co/jBEw8zsRyk"
