,時間,本文
0,2022-11-18 23:59:59+09:00,"あなたの番です
最後のハエ止まっとる時間が長すぎて、映画みたはずなのに違うエンドかと思って焦った"
1,2022-11-18 23:59:56+09:00,"あなたの番です 劇場版
面白かったぁぁ～～👍
最後のハエトラウマ回避出来て
よかった(о´∀`о)❤️ななちゃーん❗"
2,2022-11-18 23:59:53+09:00,で？あなたの番ですの映画版の管理人さん殺したのって結局誰なの？？
3,2022-11-18 23:59:52+09:00,あなたの番です劇場版、最後が一番ハラハラして怖かったんだけど😭
4,2022-11-18 23:59:48+09:00,"RT @sakabooo2: 山田くんのドラマ見てるけど1話ごとに犯人？が現れて結局違って少しづつ進む感じ気持ちええ。あなたの番ですみたいな推理ありきじゃなく、脳空っぽで見てもストーリーを楽しめる。
今回は敵が気狂いじみてない分なんとも胸くそだった…最初から出てて1番怪しくない…"
5,2022-11-18 23:59:45+09:00,"RT @piepiepin: 「事件があっても
二の腕出して歩いてる女はマトモじゃない
長年おんなをやってるとわかる

BCG跡がある世代なめるな」

「おちつけ、お前も二の腕だしてるだろ」

あなたの番です史上一番の名言
 #あなたの番です劇場版　#あなたの番です　#金曜ロー…"
6,2022-11-18 23:59:45+09:00,"RT @tadaaki_13: #あなたの番です劇場版 面白かった！
やはり神谷刑事役の #浅香航大 さんが1番良かったですね。
あのサイコパスっぷりはたまりませんでした。見えない目撃者も良かったけど、あなたの番です劇場版もめっちゃ好きです。

映画館で見た時のレビューも良かっ…"
7,2022-11-18 23:59:41+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
8,2022-11-18 23:59:40+09:00,"RT @enaw879sub: ☆11月18日✩.*˚

今日の当選者選んでません‼️

本日の夜抽選で選んで行くのでRT&amp;いいねお願いします。

今日は華金久しぶりに家でゆっくりしてます😮‍💨

あなたの番です見てる方いますか？👀💭"
9,2022-11-18 23:59:33+09:00,こももさんのNステ行くつもりで用意してたのに、あなたの番です劇場版見てたら忘れててこんな時間になってしまってツラい。
10,2022-11-18 23:59:21+09:00,"映画『あなたの番です　劇場版』★★★3.6点。 TVシリーズ未履修。
劇場公開当時、客船モノということで観賞検討したものの行けなかった作品。

面… https://t.co/LkozD3kH1r #Filmarks #映画"
11,2022-11-18 23:59:19+09:00,"RT @GQJAPAN: 横浜流星が中学生のときに極真空手の世界大会で優勝したことは、『あなたの番です』の格闘場面でのあの驚くべき身体動作からいまや周知の事実かもしれない。

▼横浜流星のインタビューをプレイバック
https://t.co/J1eVeAFl6J

#横浜流星…"
12,2022-11-18 23:59:15+09:00,"#リプした人に一言
あなたの番ですネタバレなしで"
13,2022-11-18 23:59:14+09:00,"はい「劇場版あなたの番です」の視聴おわりました
感想としては粗が多いのをあからさまなギャグてフォローしてる感じで見てて辛かったです……
マジで管理人さんの件はどうなったんだ？
なんなら3番目と4番目の遺体の処理のやり方どうやったんだ？"
14,2022-11-18 23:59:07+09:00,"2022年15本目「あなたの番です　劇場版」@テレビ
ドラマの設定も何となく引き継がれててドラマの結末を知ってるからこそ楽しめる場面もあった。ドラマと違って2時間ちょっとで終わるから考察する暇ない一方で、すぐ答え合わせできるから良い。横浜流星くんのアクションかっこいい！"
15,2022-11-18 23:59:07+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
16,2022-11-18 23:59:05+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
17,2022-11-18 23:59:05+09:00,"『あなたの番です 劇場版』 、兎にも角にも、なげぇ…。
これ、テレビ版観てない人はただ長いだけのわけのわからない映画なのでは… 前作との違いを楽しむのが主たる目的の作品よね #eiga"
18,2022-11-18 23:59:05+09:00,あなたの番です劇場版をもう一度見たい方、録画されてない方、ご購入ご検討くださいませ🤗 https://t.co/dUKmRF1zlG
19,2022-11-18 23:59:04+09:00,"RT @piepiepin: 「事件があっても
二の腕出して歩いてる女はマトモじゃない
長年おんなをやってるとわかる

BCG跡がある世代なめるな」

「おちつけ、お前も二の腕だしてるだろ」

あなたの番です史上一番の名言
 #あなたの番です劇場版　#あなたの番です　#金曜ロー…"
20,2022-11-18 23:59:04+09:00,"RT @enaw879sub: ☆11月18日✩.*˚

今日の当選者選んでません‼️

本日の夜抽選で選んで行くのでRT&amp;いいねお願いします。

今日は華金久しぶりに家でゆっくりしてます😮‍💨

あなたの番です見てる方いますか？👀💭"
21,2022-11-18 23:59:03+09:00,"👨‍🏫これ見た？⤴ #あなたの番です

原田知世＆田中圭『あなたの番です 劇場版』キャスト・あらすじお ...
https://t.co/vcpKs5a8Bj

https://t.co/A3OUvErabf"
22,2022-11-18 23:59:00+09:00,"金曜ロードショー「劇場版 あなたの番です」
見終わりましたよ😁

まだドラマシリーズ「あなたの番です」を
見てない方は、全20話の見逃し配信を
無料でみれます。

詳細は固定ツイートみて😁

#金ロー #あな番 #あなたの番です劇場版"
23,2022-11-18 23:58:59+09:00,"あなたの番です劇場版。まぁ面白かったかなぁ。でも元の話忘れてて。ドラマ版のネタバレサイト見ながら見たよ。
来週はヴァイオレット・エヴァーガーデンだって！ここ10年で見たアニメのベスト３に入る名作、の完結編。どうせすぐやるだろうと思って行かなかったけどなかなか放送しなかったんだよねｗ"
24,2022-11-18 23:58:54+09:00,"あなたの番ですの神谷カッコいい誰？？？？ってなった方居ましたら
我らが浅　香　航　大です。
30歳182cm自然大好き朝シャン派俳優です。宜しくお願いします。
#あなたの番です #浅香航大 #神谷 https://t.co/0oYWxGvYXO"
25,2022-11-18 23:58:53+09:00,"あなたの番です続編
あなたの柴です
主演 逢田梨香子さん https://t.co/sHJFjP5050"
