,時間,本文
0,2023-02-03 23:59:57+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
1,2023-02-03 23:59:51+09:00,"RT @HitUltra: やっぱり金ローの事だから編集が甘いんだよな…
10年後にウィルとエリザベスとその息子が会うシーンなかったか…

多分、５作目の地上波初放送の可能性は低いかな…
(なお、可能性は０と言いきれない)
#パイレーツオブカリビアン #パイレーツ・オブ・カリビ…"
2,2023-02-03 23:59:51+09:00,RT @sazuki___: ワンドロかツードロしようと描き始めたのにパイレーツオブカリビアン見ちゃって結局途中までしか描けなかったし電池ないし節分も終わる…おやすみ https://t.co/ylYTkcGBEu
3,2023-02-03 23:59:46+09:00,"パイレーツオブカリビアン3週連続リアタイしちゃった

やっぱ面白い"
4,2023-02-03 23:59:44+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
5,2023-02-03 23:59:39+09:00,"RT @mako_MI_555: 1作目:ヒロインを攫う悪役
2作目:ラストシーンで最高の登場
3作目:”キスしろー！！“
ヒロイン達の結婚の仲介役！！

こんな最高な悪役います？？？🍏
バルボッサ大好き✨

#バルボッサ
#パイレーツオブカリビアン
#金曜ロードショー htt…"
6,2023-02-03 23:59:33+09:00,"今週のリアルタイム感想🏴‍☠
#金曜ロードショー #パイレーツオブカリビアン https://t.co/1E0CIML29d"
7,2023-02-03 23:59:33+09:00,"デイヴィ・ジョーンズ、かっこよかったなぁ〜 CGが好きになったのもパイレーツ・オブ・カリビアンなので、久しぶりに見れてよかった！(*´▽`)
 #パイレーツオブカリビアン  #blender https://t.co/KDW5DTWOl1"
8,2023-02-03 23:59:32+09:00,RT @kornblume814: パイレーツオブカリビアン https://t.co/I2ujrvqvZR
9,2023-02-03 23:59:30+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
バルボッサの吹替してる壤晴彦さん。スカーの時もそうだけど、粘り気凄いのにどこかエッジの効いた声好きよ。渋い色気あるよね✨ https://t.co/mRN6pGElgM"
10,2023-02-03 23:59:29+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
バルボッサの吹替してる壤晴彦さん。スカーの時もそうだけど、粘り気凄いのにどこかエッジの効いた声好きよ。渋い色気あるよね✨ https://t.co/mRN6pGElgM"
11,2023-02-03 23:59:25+09:00,RT @xudu0: パイレーツオブカリビアンのタコピーが泣いちゃうとこ可愛いよね（すべてにおいて心無い発言）
12,2023-02-03 23:59:24+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
13,2023-02-03 23:59:23+09:00,"今をきっかけにパイレーツオブカリビアンを見て、20年前は怖くて嫌ってしまった義眼のラゲッティ
今になって見て、一番好きになった

この変化は本当に奇跡とも言えると思ってる　不意に興味がわかなければ嫌いなままでさらにはラゲッティを越えて俳優の方すら知らないままだったから
素晴らしい出会い"
14,2023-02-03 23:59:19+09:00,"ほんまこの印象的なシーンカットするのはクソ編集や笑
ついでに尺足りないのわかるけど、エリザベスのお父ちゃんいつの間にか死んでるのアカンやろ😥

#パイレーツオブカリビアン 
#シーンカット https://t.co/zNO6VY7iEv"
15,2023-02-03 23:59:16+09:00,"昔はパイレーツオブカリビアン、ホビット、ナルニア国物語とかの映画が毎週のように放送してた気がする
まあ何が言いたいかっていうと生命の泉も観たかったよ😭😭"
16,2023-02-03 23:59:12+09:00,"フライングダッチマンの船長になると10年に一度たった1日しか陸に上がれなくなるけど、ベケット卿との交渉でジョーンズが足だけ海水に浸かってるシーンで終盤のウィルとエリザベスの切ない関係性が台無しになるのほんと好き。
 #パイレーツオブカリビアン"
17,2023-02-03 23:59:12+09:00,"シーンカットでベケット鄕もみんなに愛されてたことを知る。
#パイレーツオブカリビアン"
18,2023-02-03 23:59:07+09:00,パイレーツオブカリビアンはだんとつでバルボッサがいちばんかっこいい、、、最新作？なんてすごいから。もうだいすき！
19,2023-02-03 23:59:05+09:00,"RT @_kaku0609: エリザベスとキスした人間は死に追いやられますが、1作目で鍛冶屋ウィルが届けた(作った)剣は、手に取った人間は全員死んでるし最後作った主にこんな形で戻ってくるという、かなり曰く付きな剣っぷりを発揮
#パイレーツオブカリビアン
#金曜ロードショー ht…"
20,2023-02-03 23:59:05+09:00,"どうも、レギオンマッチ7億連敗くんです。
本当です。
勝ちました🥺
お恥ずかしながらレアスキル初めて使いました😇
対戦ありがとうございました😌

#パイレーツオブカリビアン https://t.co/yqqOorf71M"
21,2023-02-03 23:59:04+09:00,おまけにパイレーツオブカリビアンの世界でウィルとエリザベスのハグを見て赤面する程ピュア。 https://t.co/KuCy8K1eGi
22,2023-02-03 23:59:02+09:00,"ちょうどパイレーツオブカリビアン終わったと同時に七名様ご来店😆

起きてて良かった(笑)"
23,2023-02-03 23:59:01+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
