,時間,本文
0,2023-01-27 23:59:59+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』(2006)

トリビアにこめ

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー

↓続く https://t.co/aIyYl…"
1,2023-01-27 23:59:59+09:00,"RT @leopittmovie: 2003年に『ロードオブザリング』のレゴラスと『パイレーツオブカリビアン』のウィル・ターナーを演じているオーランド・ブルームが強すぎる

#パイレーツ・オブ・カリビアン
#金曜ロードショー https://t.co/KY8XtPzxfr"
2,2023-01-27 23:59:50+09:00,"RT @naotwo_k: この魂の交渉をするシーン
「price?」の台詞の後にビル・ナイが唇を鳴らしたのはアドリブでよく見ると後ろの船員が素で笑ってしまってる
海の恐怖の権化と茶目っ気溢れるアドリブのギャップ超好き
#パイレーツ・オブ・カリビアン
#パイレーツオブカリビアン…"
3,2023-01-27 23:59:47+09:00,"ビルナイさん、やはり、このタコ船長の印象が強いわけで。すごいわ。
ダンディーな素顔だけど、かなり、
お茶目。まさかのポケモンの実写映画にも出てきたとは。
#パイレーツオブカリビアン https://t.co/GAyysVI4L1"
4,2023-01-27 23:59:45+09:00,"RT @Lostriver1930: オフショットが何とも青春で本当に良いのよね😭✨
 #パイレーツオブカリビアン https://t.co/VI1iQUg8yu"
5,2023-01-27 23:59:42+09:00,"パイレーツ・オブ・カリビアン／呪われた海賊たち 4K UHD [4K ULTRA HD+ブルーレイ] [Blu-ray]

🔽🔽
https://t.co/jTSSyahsNP

＃パイレーツオブカリビアン
＃金曜ロードショー"
6,2023-01-27 23:59:40+09:00,"RT @kinro_ntv: #パイレーツオブカリビアン
始まりました😳

ファーストシーン…🎥
花嫁が雨に打たれているところから
この物語は始まります…☔️

#金曜ロードショー https://t.co/Of3fMF8OAZ"
7,2023-01-27 23:59:35+09:00,"パイレーツオブカリビアン面白いや
ドミニカでの撮影とか凄い。
今作ったらCG多用になりそうだけど
現実の質感がある方が面白いよ"
8,2023-01-27 23:59:33+09:00,"RT @kinro_ntv: 来週も☠️#パイレーツオブカリビアン🏴☠️
第3⃣作『パイレーツ・オブ・カリビアン／ワールド・エンド』を放送します😆

世界中の海賊が集結！
永遠の命を手に入れるのは誰なのか…？
海賊たちの最後の闘いの火蓋が切られた！

ますますパワーアップした冒…"
9,2023-01-27 23:59:32+09:00,"RT @kinro_ntv: 来週も☠️#パイレーツオブカリビアン🏴☠️
第3⃣作『パイレーツ・オブ・カリビアン／ワールド・エンド』を放送します😆

世界中の海賊が集結！
永遠の命を手に入れるのは誰なのか…？
海賊たちの最後の闘いの火蓋が切られた！

ますますパワーアップした冒…"
10,2023-01-27 23:59:28+09:00,"RT @kinro_ntv: 同時進行で撮影された本作と3作目の撮影のために用意された衣装は、なんと8000着😳！ジョニー・デップもアイデアを出したというジャック・スパロウの衣装はすでに完璧だったので、１作目から実質的な変更を行わずに撮影が行われたそうです😄。
#金曜ロードショ…"
11,2023-01-27 23:59:26+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
12,2023-01-27 23:59:24+09:00,"RT @_kaku0609: 鍛冶屋のウィルよりも三半規管強い海軍のノリントンがすぐ歩けてるの、表現細かくて好きすぎる
#パイレーツオブカリビアン
#金曜ロードショー"
13,2023-01-27 23:59:23+09:00,RT @kinro_ntv: 先住民の島とこの後登場するイスラ・クルーセス🏝のシーンは、ドミニカ共和国で撮影。先住民が住むペレゴストスは首都・ロゾーの南にあるハイ・ミドーという場所で撮影🎥、この撮影のために方言指導と言語学者によって「ウムショコ」という架空の言語が開発されたそう…
14,2023-01-27 23:59:23+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
15,2023-01-27 23:59:20+09:00,"RT @kinro_ntv: （ラスト…ワンシーンで心を撃ち抜かれます…衝撃…😳）

#金曜ロードショー　#パイレーツオブカリビアン https://t.co/Wo5G6YNllm"
16,2023-01-27 23:59:11+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
バルボッサの吹替してる壤晴彦さん。スカーの時もそうだけど、粘り気凄いのにどこかエッジの効いた声好きよ。渋い色気あるよね✨ https://t.co/mRN6pGElgM"
17,2023-01-27 23:59:09+09:00,"RT @harastmac: クラーケンに捕まったパイレーツなネズミ
#パイレーツオブカリビアン #金曜ロードショー https://t.co/GavoAQGPfP"
18,2023-01-27 23:59:05+09:00,"RT @Rey_Ansur_NGS: 「Hello, Beastie!!」
#PSO2NGS
#パイレーツオブカリビアン https://t.co/4MlzdcyAoG"
19,2023-01-27 23:59:04+09:00,先週見れなかったけど、今週のパイレーツオブカリビアン見た‼️冒険活劇ワクワク❣️ギャグセンス高くて笑ってた🤣何回見てもおもしろい‼️DVD持ってるのに地上波もついつい見ちゃうな〜😊✨
20,2023-01-27 23:59:03+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
21,2023-01-27 23:59:02+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』(2006)

海賊ファンタジーアクション第2作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#…"
22,2023-01-27 23:58:59+09:00,"RT @sayjoy_enjoy: 最後にバルボッサが登場するシーンは出演者も知らなかったサプライズだから驚いた顔は素の表情らしい

＃パイレーツオブカリビアン
＃金曜ロードショー https://t.co/9zr7TwHI13"
23,2023-01-27 23:58:57+09:00,"RT @Lostriver1930: オフショットが何とも青春で本当に良いのよね😭✨
 #パイレーツオブカリビアン https://t.co/VI1iQUg8yu"
