,時間,本文
0,2023-01-20 23:59:55+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
1,2023-01-20 23:59:51+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
2,2023-01-20 23:59:25+09:00,"RT @hamusandou: パイレーツ・オブ・カリビアンの第一作が20年前だという事実…Oh……( ﾟДﾟ)
#PSO2NGS
#パイレーツオブカリビアン https://t.co/wbUQtWFUr9"
3,2023-01-20 23:59:24+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
4,2023-01-20 23:59:12+09:00,金ローでパイレーツオブカリビアンやってるからパイレーツオブカリビアンオタクのツイートが流れてくるが、この人自分よりもパイレーツオブカリビアンのことわかってるなぁって人1人もいないな
5,2023-01-20 23:59:12+09:00,パイレーツオブカリビアンの存在を忘れてゲーム実況を見てしまいました。腹を切ってお詫びいたします。
6,2023-01-20 23:58:51+09:00,下からこりま パイレーツオブカリビアン観てるけどビールと柿の種で一杯！明日も早いから早目に終了するよ。 / ニコ生視聴中 https://t.co/aM0ypaJ9nc
7,2023-01-20 23:58:46+09:00,"パイレーツオブカリビアンおもすれ(人生二度目)
こうやって既見の作品ばっか見返し新しい作品を摂取できなくなるおじさんに片足膝まで突っ込んでる
今のうちに少しでも多く取り込んでおかないと　な"
8,2023-01-20 23:58:43+09:00,パイレーツオブカリビアン3で仲間になって戦いの最中カップルの結婚の宣誓まで手伝ってくれるニキ。 https://t.co/jL12PHUS2G
9,2023-01-20 23:58:42+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアさいご

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー https://t.co/9HtqWLoKDq"
10,2023-01-20 23:58:42+09:00,"次週も乞うご期待！！　
#パイレーツオブカリビアン
#平田さん https://t.co/RO73QGwr9Q"
11,2023-01-20 23:58:29+09:00,"RT @fuji_gitsune: #金曜ロードショー
#パイレーツオブカリビアン
初めて見た時 5度見位した中の人 https://t.co/u0PXaFvpdD"
12,2023-01-20 23:58:19+09:00,RT @ki_8498: 今日はパイレーツオブカリビアン放送なので前に描いたⅢのソラとジャック再掲🏴‍☠️ https://t.co/MUhScXki02
13,2023-01-20 23:58:17+09:00,パイレーツオブカリビアン面白いわ〜
14,2023-01-20 23:58:04+09:00,"吹部でﾊﾟｲﾚｰﾂｵﾌﾞｶﾘﾋﾞｱﾝのBGM演奏してた時はまさか映画にハマるとは思ってなかったよなぁ…
なかなか分かんないものだよね
そして今私はﾊﾟｲﾚｰﾂｵﾌﾞｶﾘﾋﾞｱﾝをみた人間となった🤟"
15,2023-01-20 23:58:03+09:00,"RT @YOULEGO: #金曜ロードショー
#パイレーツオブカリビアン 
このあと９時！
#レゴ
#LEGO
クジダゼー！ https://t.co/qdmbrJOp3Q"
16,2023-01-20 23:58:02+09:00,ガーディアンズオブギャラクシーのガモーラ役の人パイレーツオブカリビアンに出てたのか
17,2023-01-20 23:57:48+09:00,"カリブの海賊
ジャック・スパロウ
ジョニー・デップ
オーランド・ブルーム
バルボッサ
エリザベス
金ロー

#金曜ロードショー
#パイレーツオブカリビアン
#呪われた海賊たち

コスプレ
日本の中小企業
残り数点

https://t.co/72JCVuCFjT"
18,2023-01-20 23:57:48+09:00,"メディコムトイ パイレーツオブカリビアン ジャックスパロウ フィギュア #金曜ロードショー 

https://t.co/KTmLbLucjA"
19,2023-01-20 23:57:46+09:00,"RT @kinro_ntv: 3作連続放送🌟第1弾
｢パイレーツ・オブ・カリビアン/呪われた海賊たち｣
🌊金曜よる9時🌊

物語の鍵を握るのは自由を愛する孤高の男ミステリアスな海賊ジャック・スパロウ💥
#ジョニー・デップ
#パイレーツオブカリビアン https://t.co/e…"
20,2023-01-20 23:57:44+09:00,"RT @rui_Light_up_61: 「Dead Men Tell No Tales」

#Dハロ2022 
#Dハロ仮装2022 
#パイレーツオブカリビアン
#Dハロ https://t.co/QswCTLAsXt"
21,2023-01-20 23:57:34+09:00,"RT @ayaru49397559: そういえばこの作品のアイディア出しの最初の出発点はパイレーツ・オブ・カリビアンの一作目がヒントでした

死の島でジャックが月光に照らされるシーンにインスピレーションを受けてます

#パイレーツオブカリビアン 
#イラスト https://t…"
22,2023-01-20 23:57:33+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアさいご

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー https://t.co/9HtqWLoKDq"
23,2023-01-20 23:57:33+09:00,RT @peeta2013tm: もしも映画の人物がファッション誌に登場したら。パイレーツオブカリビアン編。 https://t.co/JLk5WUhWws
24,2023-01-20 23:57:33+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
25,2023-01-20 23:57:31+09:00,RT @zarame202108: パイレーツオブカリビアンのエリザベス・スワン役でキーラ・ナイトレイさんが胸の谷間をつくる為に胸の影を描いたりパッドを入れていたのは有名な話。 https://t.co/zkvghw2i4V
26,2023-01-20 23:57:25+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアにこめ

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー

↓続く https://t.co/yq4SWMVE…"
27,2023-01-20 23:57:21+09:00,"RT @kinro_ntv: 大ヒットシリーズ第1作
｢パイレーツ・オブ・カリビアン/呪われた海賊たち｣
💰金曜よる9時💰

#平田広明,#壤晴彦,#平川大輔,#弓場沙織,#森田順平,#村松康雄,#佐々木梅治,#高宮俊介,#青森伸,#湯屋敦子,#山形ユキオ,#石井隆夫,#石住昭…"
28,2023-01-20 23:57:21+09:00,子供たち元気に起きてるのでほっといてパイレーツオブカリビアンを見始めたら、面白い面白いと見に来てしまい、結局1人は完走した。
29,2023-01-20 23:57:20+09:00,"安定の面白さ🏴‍☠️
ジョニーもオーリーも大好き🤍💀🤍
パイレーツオブカリビアン6は絶対ジョニーデップ復活して欲しいと願ってます！！！！

#パイレーツ・オブ・カリビアン https://t.co/CcWa17bGus"
30,2023-01-20 23:57:11+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
31,2023-01-20 23:57:01+09:00,"パイレーツオブカリビアンの一作目が20年前ということを知って絶望に浸ってる
そんなに時が流れたのかよ…そりゃ私の年齢も食うわけだよ…"
32,2023-01-20 23:56:59+09:00,パイレーツオブカリビアンつい見てしまった。懐かしいなー。
33,2023-01-20 23:56:39+09:00,RT @miya3555: パイレーツオブカリビアンの好きなところは誰かが言った台詞を後で違う誰かが使うこと　同じ言葉なのに意味が違ったりして面白いよね　舞台でもそういう脚本大好き
34,2023-01-20 23:56:38+09:00,サンシャインにもあるかも パイレーツオブカリビアン観てるけどビールと柿の種で一杯！明日も早いから早目に終了するよ。 / ニコ生視聴中 https://t.co/DGk1xszOrw
35,2023-01-20 23:56:25+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアにこめ

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー

↓続く https://t.co/yq4SWMVE…"
36,2023-01-20 23:56:17+09:00,"「オーランド・ブルーム」がトレンド入りしてた！
今日パイレーツオブカリビアンやってたのか〜⚓️🏴‍☠️
顔面大優勝のオーランドブルーム🏆✨
今現在の画像も出てきたけどめちゃくちゃイケオジになっとるやないかーい。"
37,2023-01-20 23:56:16+09:00,風呂ったらお湯かぶっただけで歯の根がいきなりガタガタ言い出して熱はないのになんじゃこりゃ？？とビビった。さっきまでパイレーツオブカリビアン見てたから余計びっくりした…
38,2023-01-20 23:56:15+09:00,"パイレーツオブカリビアン🥺
ジャックかっこいいなぁ〜😊❣️
海賊なアオイ見たい💀
お宝じゃなくて相談員の心盗む的なキザなアオイ🌻🤭"
39,2023-01-20 23:56:10+09:00,RT @sojochusa: 大サトー版パイレーツオブカリビアンとかどうなるんだろうなと考えるなど。
40,2023-01-20 23:56:05+09:00,パイレーツオブカリビアンは、サイレントメアリー豪が好きです
41,2023-01-20 23:55:45+09:00,3週連続パイレーツオブカリビアンなのげきあつぅぅぅぅ
42,2023-01-20 23:55:42+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

海賊ファンタジーアクション第1作目。監督ゴア・ヴァービンスキー、出演ジョニー・デップ、オーランド・ブルーム他

#映画トリビア
#映画好きと繋がりたい
#パイレ…"
43,2023-01-20 23:55:42+09:00,RT @ki_8498: 今日はパイレーツオブカリビアン放送なので前に描いたⅢのソラとジャック再掲🏴‍☠️ https://t.co/MUhScXki02
44,2023-01-20 23:55:33+09:00,"RT @530E: パイレーツにどハマりしたあの頃の知識で、超ざっくりキャプテン ジャック・スパロウの前日譚描いてみた

#パイレーツオブカリビアン #金曜ロードショー https://t.co/7ELPdAaqVf"
45,2023-01-20 23:55:26+09:00,1作ごとにつまんなくなっていくけど1作目は本当に面白いのよね、パイレーツオブカリビアン。
46,2023-01-20 23:55:24+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアにこめ

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー

↓続く https://t.co/yq4SWMVE…"
47,2023-01-20 23:55:09+09:00,"RT @eigatrivia: #毎日映画トリビア
『パイレーツ・オブ・カリビアン/呪われた海賊たち』(2003)

トリビアさいご

#映画トリビア
#映画好きと繋がりたい
#パイレーツオブカリビアン 
#金曜ロードショー https://t.co/9HtqWLoKDq"
48,2023-01-20 23:55:07+09:00,"パイレーツオブカリビアン🏴‍☠️
ジャック・スパロー格好いい😍ジョニーデップ様だから当然なんだけど。
あんなブーツ似合う人なかなかいない。

ブーツ→https://t.co/PxnbagjMwf

TDLのカリブの海賊行きたくなる✨

#金曜ロードショー #パイレーツ・オブ・カリビアン"
49,2023-01-20 23:55:06+09:00,"RT @HARUMAKImusic: 若い頃のオーランド・ブルームの顔の良さは半端じゃねえぜ
これ以上整った顔見たことない
#パイレーツオブカリビアン https://t.co/qU1yd3MMUO"
50,2023-01-20 23:54:56+09:00,RT @ki_8498: 今日はパイレーツオブカリビアン放送なので前に描いたⅢのソラとジャック再掲🏴‍☠️ https://t.co/MUhScXki02
51,2023-01-20 23:54:45+09:00,"久々パイレーツオブカリビアン観た(/// ^///)
やっぱ面白い😍
ジョニーデップかっこよ(*・∀-)☆"
52,2023-01-20 23:54:43+09:00,なんで相場はアホな長身イケメンとデブチビハゲなん？＜パイレーツオブカリビアン
53,2023-01-20 23:54:41+09:00,パイレーツオブカリビアン（金ロー）観ました! 今観れて良かったです…大航海時代へ出航ですね🏴‍☠️𓂃𓊝𓄹𓄺おやすみなさい…
54,2023-01-20 23:54:40+09:00,"ターナーくんの声が中井和哉さんだったら、日本語音声(吹替版)で見たかも。
#パイレーツオブカリビアン"
55,2023-01-20 23:54:38+09:00,"続編のニュースがでる度に期待してるけど、まだまだ難しいのかな……
ジャックはジョニー・デップ以外にあり得ない！ジャックが出ないパイレーツオブカリビアンもあり得ない！"
56,2023-01-20 23:54:33+09:00,"RT @HARUMAKImusic: 若い頃のオーランド・ブルームの顔の良さは半端じゃねえぜ
これ以上整った顔見たことない
#パイレーツオブカリビアン https://t.co/qU1yd3MMUO"
57,2023-01-20 23:54:28+09:00,@unext_pirates パイレーツオブカリビアン放送の日ですもんね
58,2023-01-20 23:54:20+09:00,RT @zarame202108: パイレーツオブカリビアンのエリザベス・スワン役でキーラ・ナイトレイさんが胸の谷間をつくる為に胸の影を描いたりパッドを入れていたのは有名な話。 https://t.co/zkvghw2i4V
59,2023-01-20 23:54:15+09:00,"RT @kaiyodo_PR: 【特報】
『キャプテン・ジャックスパロウ』、#リボルテック で蘇る！

海洋堂のアクションフィギュアブランド”リボルテック”に「#ジャックスパロウ」が再び登場！
詳細は近日発表！

#パイレーツオブカリビアン
#ディズニー https://t.c…"
